Resultados de la Detección de Pupilas
-------------------------------------
Fecha y Hora: 2025-02-17 11:04:29
Tiempo total de ejecución: 2 minutos y 54 segundos
Total de Parpadeos Detectados: 0
Interrupciones Detectadas: 1
Fijaciones Detectadas: 0
-------------------------------------

Posiciones de la Pupila:
  869: X = 366, Y = 258
  870: X = 367, Y = 259
  871: X = 367, Y = 259
  872: X = 378, Y = 255
  873: X = 378, Y = 255
  874: X = 379, Y = 254
  875: X = 379, Y = 254
  876: X = 380, Y = 255
  877: X = 380, Y = 255
  878: X = 380, Y = 255
  879: X = 380, Y = 255
  880: X = 380, Y = 255
  881: X = 380, Y = 254
  882: X = 380, Y = 254
  883: X = 380, Y = 254
  884: X = 380, Y = 255
  885: X = 380, Y = 255
  886: X = 380, Y = 255
  887: X = 380, Y = 255
  888: X = 380, Y = 255
  889: X = 380, Y = 254
  890: X = 380, Y = 254
  891: X = 380, Y = 255
  892: X = 380, Y = 255
  893: X = 380, Y = 255
  894: X = 380, Y = 255
  895: X = 375, Y = 255
  896: X = 375, Y = 255
  897: X = 372, Y = 254
  898: X = 372, Y = 254
  899: X = 373, Y = 255
  900: X = 373, Y = 255
  901: X = 371, Y = 255
  902: X = 371, Y = 255
  903: X = 371, Y = 255
  904: X = 372, Y = 254
  905: X = 372, Y = 254
  906: X = 371, Y = 254
  907: X = 371, Y = 254
  908: X = 372, Y = 255
  909: X = 372, Y = 255
  910: X = 372, Y = 254
  911: X = 372, Y = 254
  912: X = 372, Y = 254
  913: X = 372, Y = 254
  914: X = 372, Y = 254
  915: X = 372, Y = 254
  916: X = 371, Y = 254
  917: X = 371, Y = 254
  918: X = 372, Y = 254
  919: X = 372, Y = 254
  920: X = 371, Y = 254
  921: X = 371, Y = 254
  922: X = 371, Y = 254
  923: X = 371, Y = 254
  924: X = 371, Y = 254
  925: X = 371, Y = 254
  926: X = 371, Y = 254
  927: X = 371, Y = 254
  928: X = 371, Y = 254
  929: X = 368, Y = 255
  930: X = 368, Y = 255
  931: X = 369, Y = 254
  932: X = 369, Y = 254
  933: X = 369, Y = 254
  934: X = 367, Y = 255
  935: X = 367, Y = 255
  936: X = 369, Y = 253
  937: X = 369, Y = 253
  938: X = 372, Y = 254
  939: X = 372, Y = 254
  940: X = 378, Y = 254
  941: X = 378, Y = 254
  942: X = 379, Y = 255
  943: X = 379, Y = 255
  944: X = 380, Y = 255
  945: X = 380, Y = 255
  946: X = 380, Y = 255
  947: X = 380, Y = 255
  948: X = 380, Y = 255
  949: X = 380, Y = 255
